Authors,Author,Year,Journal,DOI,Link,Abstract,Keywords,Num
Jochem R.; Menrath M.; Landgraf K.,"Jochem, Roland (6603204236); Menrath, Martin (6506902167); Landgraf, Katja (56592653000)",2010,TQM Journal,10.1108/17542731011053334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953559990&doi=10.1108%2f17542731011053334&partnerID=40&md5=fe2330b8cff09959783c01e203969171,"Purpose - The performance measurement system reflects the corporate strategy and overall business objectives of an organization. The alignment of the performance indicators with the company's critical operating factors, and the processes having bottle-necks alongside the value chain, could result in a very compact, target-oriented, and quality-based performance measurement system. This paper aims to investigate this issue. Design/methodology/approach - The quality-based performance measurement system is developed by integrating the existing performance indicators of an organization with those of best-in-class management practices. The organizational processes included range from business leadership to the operational level. The key performance indicators (KPIs) depict the existing status transparently and comprehensively, whereas later on they can be used to control the processes with the pre-defined values/measures. The KPIs of a process are documented and standardized once they are implemented. An action plan is then developed to write down the prerequisite for the new KPIs and to prioritize the existing ones for the sake of improvement. Findings - It is affirmed that most of the employees had found the performance measurement system a very useful tool to tightly control the flow of their processes. It is very important to mention that this system does not mean giving way to another flood of information; instead it is designed to support the company's decision-making process through target-oriented indicators that could be compared with the existing best practices. Originality/value - The concept described is aimed at developing and implementing a quality-based performance measurement system within an organization. This system is developed through comparing the existing organizational practices with those having been labelled ""Best-in-class"" and it provides an alternative to the Balanced Score Card approach. © Emerald Group Publishing Limited.",Germany; Performance measurement (quality); Process management; Quality indicators; Vehicle components,2-s2.0-77953559990
Schroeder Jr. A.T.,"Schroeder Jr., Alan T. (8234718800)",2006,Records Management Journal,10.1108/09565690610654774,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745836115&doi=10.1108%2f09565690610654774&partnerID=40&md5=41b355a8ef087d38dbed8efa46b0936a,"Purpose - The purpose of the article is to present the organizational, logistic, and technological problems in reengineering established real estate library business processes to inform other practitioners. Design/methodology/approach - The article is based on the approach taken in one organisation. This paper presents the organizational, logistic, and technological problems in reengineering established real estate library business processes by considering a real case study, although the identify of the firm is not revealed. Findings - The information management literature is strewn with bits and pieces on document imaging and its perceived benefits through increased technology. The business process is more complex than the sales literature suggests. Imaging projects begin with a paper backlog that requires preparation, organization, taxonomy, and elimination of redundancy through document analysis. Personnel, budget, and administration need to be allocated. Simultaneously, a document management system must be selected, data warehouse space allocated, and a design storyboard constructed. Research limitations/implications - The case study is from the private sector, but there may be other aspects to consider in developing the return on investment argument in other sectors. Practical implications - How will the paper backlog be eliminated forever? The answer lies in reengineering the entire real estate library business process, transforming the real estate document library into an information management decision-making tool for those managers involved in selling, buying, and managing property assets Originality/value - Th is paper reflects practical lessons learned and will help other professionals who are considering digitization. © Emerald Group Publishing Limited.",Decision making; Digital storage; Information management; Library facilities; Real estate,2-s2.0-33745836115
Herschel R.T.; Jones N.E.,"Herschel, Richard T. (6602291331); Jones, Nory E. (7403398530)",2005,Journal of Knowledge Management,10.1108/13673270510610323,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644442481&doi=10.1108%2f13673270510610323&partnerID=40&md5=fdb00d1b9b949deb0aafb189f78ee92c,"Purpose - The purpose of the paper is to provide a thorough analysis of the difference between business intelligence (BI) and knowledge management (KM) and to establish a framework for relating one field to the other. Design/methodology/approach - A review of the literature from approximately 1986 through 2004 served as the basis for analysis and comparison of BI and KM. The theoretical scope of the paper is to distinguish between BI and KM to clarify the role of each in a business environment. Findings - BI focuses on explicit knowledge, but KM encompasses both tacit and explicit knowledge. Both concepts promote learning, decision making, and understanding. Yet, KM can influence the very nature of BI itself. Hence, this paper explains the nature of the integration between BI and KM and makes it clear that BI should be viewed as a subset of KM. Originality/value - This paper establishes a clear distinction between two important fields of study, BI and KM, establishing an expanded role for BI. That is, the role of BI in knowledge improvement. This expanded role also suggests that the effectiveness of a BI will, in the future, be measured based on how well it promotes and enhances knowledge, how well it improves the mental model(s) and understanding of the decision maker(s) and thereby how well it improves their decision making and hence firm performance. The need for the integration of KM and BI is clear. © Emerald Group Publishing Limited.",Information systems; Integration; Knowledge management; Organizations,2-s2.0-27644442481
Müller M.; Seuring S.,"Müller, Martin (57213094876); Seuring, Stefan (6602271726)",2007,Industrial Management and Data Systems,10.1108/02635570710740652,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34147208769&doi=10.1108%2f02635570710740652&partnerID=40&md5=0f27f76d3a52736fb767e6a0df10b84e,"Purpose - The purpose of this paper is to address the intersection between supply chain coordination and information technology (IT) by building on transaction cost analysis. Literature frequently predicts that the application of IT reduces transaction costs. Often, no real explanation is given, and the impact of IT on supply chain management (SCM) is not assessed. Design/methodology/approach - Discussing the application of IT in SCM, a classification of different forms of collaboration (integration) is presented. Building on the essential transaction cost elements of specificity and uncertainty, the (high) costs of transactions in different supply chain integration forms are revealed. Findings - The claim that IT reduces transaction costs is objected to in its general form. The reduction of transaction costs is dependent on the form of supplier integration. Through market transactions (not managed process links) and monitored process links, a reduction of transaction costs by using IT is likely. In the case of managed process links and non-member process links, a reduction of transaction costs is achieved only if certain conditions apply. A conceptual framework is presented, using uncertainty and specificity to explain which IT applications can reduce transaction costs in a supply chain. Research limitations/implications - The research is based on conceptual thought. Beyond this framework for reducing IT-based transaction costs in supply chains empirical research is needed to validate the findings. Practical implications - Companies need to be aware that applying IT in their supply chain is not sake in itself. The classification provided in this paper support-related decision by pointing out that different IT-solutions fit different business process links. Originality/value - The paper presents a more detailed analysis of the impacts IT applications have in SCM. This includes a discussion on how uncertainty and specificity influence the implementation of IT in supply chains. © Emerald Group Publishing Limited.",Communication technologies; Supply chain management; Transaction costs,2-s2.0-34147208769
Di Biagio M.L.; Ibiricu B.,"Di Biagio, Maria Luisa (25631669100); Ibiricu, Bernice (25632365700)",2008,Records Management Journal,10.1108/09565690810916429,https://www.scopus.com/inward/record.uri?eid=2-s2.0-55249114899&doi=10.1108%2f09565690810916429&partnerID=40&md5=1f705e137717bbed300fe783b0c35962,"Purpose - The purpose of this paper is to analyse and share the experience of implementing an electronic document and records management system (EDRMS) by identifying what went well and what could be done better. Design/methodology/approach - In the implementation of an EDRMS, the European Central Bank has opted to place the role of records managers prominently between technology and business needs to ensure that the preservation of institutional memory is the centre-piece of its information policy. Findings - The acceptance to improve and the flexibility to introduce corrective measures during the deployment of an EDRMS keeps the aim in sight whilst improving the quality of records management delivery. Practical implications - The ups and downs of roll-outs provide valuable lessons and opportunities to introduce corrective measures to keep EDRM projects on track and generate awareness of the balancing act that exists between technology and people. Originality/value - This paper reveals practical experiences encountered during the roll-out of an EDRMS and aims to highlight the aspects that records professionals can identify as potential sources for success, failure or a combination of both.",Central Bank; Document management; Europe; Project management; Records management,2-s2.0-55249114899
Manning L.; Baines R.; Chadd S.,"Manning, L. (57913356700); Baines, R. (8340706100); Chadd, S. (8561417600)",2008,Benchmarking,10.1108/14635770810864866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-44849137319&doi=10.1108%2f14635770810864866&partnerID=40&md5=d69d9f9f8306b3c7e98f45a3e206211e,"Purpose - The purpose of this paper is to analyse how a pre-requisite programme and key performance indicators can be developed within an information management system in order to manage food safety, animal welfare and business performance criteria effectively in the poultry meat supply chain and seek to deliver continuous improvement. Design/methodology/approach - Desk research was carried out in order to develop the research model. Competitive benchmarking with a group of broiler growers was used to determine the most appropriate performance indicators that could differentiate both operational and financial performance. Findings - Supply chain benchmarking is more than a comparative analysis of cost structure, indeed it can be argued that if not effectively implemented, benchmarking techniques can focus too much on historic data rather than identifying and implementing current best practice, knowledge transfer and being able to initiate change within the business cycle. Effective livestock benchmarking requires a detailed understanding of the processes undertaken in order to determine the ideas and information that needs to be shared both vertically and horizontally in the chain which in turn will deliver compliance with stakeholder requirements and drive continuous improvement. Research limitations/implications - The limitations of the research have been discussed in the paper. Originality/value - This research is of value to those working in the poultry meat supply chain. © Emerald Group Publishing Limited.",Benchmarking; Performance measures; Poultry; Quality management; Supply chain management,2-s2.0-44849137319
Radzevičiene D.,"Radzevičiene, Daiva (25723728200)",2009,Aslib Proceedings: New Information Perspectives,10.1108/00012530810924339,https://www.scopus.com/inward/record.uri?eid=2-s2.0-57049108048&doi=10.1108%2f00012530810924339&partnerID=40&md5=90cdefdf15ed43aa88becfbec54d005e,"Purpose - The purpose of this paper is to analyse the role of knowledge management (KM) in small and medium-sized enterprises (SMEs) in Lithuania by looking at information and knowledge resources, the development of information technology (IT) which supports the business process and the main processes of KM inside companies. Design/methodology/approach - Questionnaires and some interviews within Lithuanian SMEs helped reveal what the present situation is in terms of KM processes and the use of IT. Findings - There appears to be a strong awareness of KM already. However, the development of adequate methods to make information management (IM) and KM fully effective appears to be lacking or only partially realized. There is some evidence to suggest that Lithuanian SME managers are becoming more psychologically prepared to work within KM but there is much less evidence to show that this is leading to effective innovation in practice at present. Originality/value - There is great interest in the smaller emergent European economies in particular, and in SMEs in general. Lithuania inherited a stronger asset base than some ex-Soviet republics and is positioning itself amongst the Baltic economies. With few natural resources, ""knowledge"" is a key area for growth, but SMEs and other sectors still need to engage strongly in development. SMEs have yet to drive the economy forward. © Emerald Group Publishing Limited.",Information management; Knowledge management; Lithuania; Small to medium-sized enterprises,2-s2.0-57049108048
"Green K.W., Jr.; Zelbst P.J.; Bhadauria V.S.; Meacham J.","Green, Kenneth W. (57225686858); Zelbst, Pamela J. (6504368029); Bhadauria, Vikram S. (55079190600); Meacham, Jeramy (55080438800)",2012,Industrial Management and Data Systems,10.1108/02635571211204254,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858059136&doi=10.1108%2f02635571211204254&partnerID=40&md5=9c64c863f26dd7c84166ba842875ddd6,"Purpose - The purpose of this paper is to contribute significantly to the first wave of empirical investigations related to the impact of green supply chain management practices on environmental and organizational performance from a manufacturer's perspective within a supply chain context. Design/methodology/ approach - An environmental collaboration and monitoring performance model is theorized and assessed following a structural equation methodology. Data were collected from 159 manufacturing managers through an on-line survey. Findings - Environmental collaboration and monitoring practices among supply chain partners are found to lead to improved environmental performance and organizational performance. Research limitations/implications - As a first wave investigation of the impact of green supply chain management practices on performance, the study is somewhat exploratory. Practical implications - Practitioners are provided with a framework for assessing the impact of environmental collaboration and monitoring practices among supply chain partners on environmental performance and organizational performance. The study provides evidence that green supply chain practices lead to improved environmental and organizational performance. Social implications - The results also have important societal implications. While green supply chain management practices enhance the economic sustainability of the firm, they also positively impact society through improvements to the overall environment. Originality/value - The results of this investigation support the proposition that implementation of environmental collaboration and monitoring practices by supply chain partners are both environmentally necessary and good business. The paper provides manufacturing managers with a structured approach to improving both environmental and organizational performance through environmental collaboration and monitoring with customers and suppliers. © 2012 Emerald Group Publishing Limited.",Environmental collaboration; Environmental monitoring; Environmental performance; Green information systems; Green supply chain management practices; Information systems; Organizational performance; Supply chain management,2-s2.0-84858059136
Bucher T.; Gericke A.; Sigg S.,"Bucher, Tobias (23388270100); Gericke, Anke (15046560600); Sigg, Stefan (55398071300)",2009,Business Process Management Journal,10.1108/14637150910960648,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650909317&doi=10.1108%2f14637150910960648&partnerID=40&md5=9f9c8025275babc3f572bc9e75218e2d,"Purpose - The purpose of this paper is to deliver an insight into the interaction effects of process-oriented management and business intelligence (BI). Design/methodology/approach - The paper takes up publications from the fields of BI and business process management and analyzes the state-of-the-art of process-centric business intelligence (PCBI). To highlight the potentials and limitations of the concept, two exemplary use cases are presented and discussed in depth. Furthermore, a vision for the technical implementation is sketched. Findings - PCBI is found to play an important role in an organization's strive for competitiveness. The concept's potential benefits are significant. However, the overall levels of adoption and maturity of the concept within real-world organizations appear to be rather low at the moment. Research limitations/implications - The paper discusses solely two exemplary use cases - the most that could be done within the scope of a journal publication. Therefore, the explanatory power and the representativeness of the results need to be scrutinized in detail. Practical implications - The paper highlights the practical significance of PCBI. It therefore represents a useful source of information for both practitioners and academics who are interested in improving the efficiency and effectiveness of an organization's information supply in support of its processes. Originality/value - The paper motivates, describes, and analyzes the concept of PCBI. Furthermore, it provides examples of the concept's adoption and benefits from a practitioner's point of view. © Emerald Group Publishing Limited.",Decision support systems; Information management; Intelligence; Process management,2-s2.0-67650909317
Cullen A.J.; Taylor M.,"Cullen, Andrea J. (15836684500); Taylor, Margaret (35502266800)",2009,International Journal of Operations and Production Management,10.1108/01443570911000177,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350306425&doi=10.1108%2f01443570911000177&partnerID=40&md5=dba68c5b4ffddb13db63ba5d471679e8,"Purpose - The purpose of this paper is to determine those factors perceived by users to influence the successful on-going use of e-commerce systems in business-to-business (B2B) buying and selling transactionsthroughexamination oftheviewsofindividuals actinginbothpurchasing andsellingroles within the UK National Health Service (NHS) pharmaceutical supply chain. Design/methodology/approach - Literature from the fields of operations and supply chain management (SCM) and information systems (IS) is used to determine candidate factors that might influence the success of the use of e-commerce. A questionnaire based on these is used for primary data collection in the UK NHS pharmaceutical supply chain. Factor analysis is used to analyse the data. Findings - The paper yields five composite factors that are perceived by users to influence successful e-commerce use. System quality, information quality, management and use, world wide web - assurance and empathy, and trust are proposed as potential critical success factors. Of these, all respondents ranked information quality, system quality, and trust as being of most importance, but differences in the rankings between purchasing and selling respondents are evident. Research limitations/implications - The empirical study is limited to a single supply network, and although the findings seem intuitively to be of relevance to other sectors and supply contexts, there remains an opportunity to test this through further research. There is also an opportunity to extend the survey research, particularly into the wholesaler organisations that operate in the sector of study. Practical implications - The managerial implications that result from this research provide practical guidance to organisations in this sector on how to ensure that e-commerce systems for B2B buying and selling are used successfully. Originality/value - This paper furthers knowledge and understanding in the fields of operations management, IS, and SCM, by suggesting potential determinants of successful e-commerce use in both buying and selling organisations within supply networks. © Emerald Group Publishing Limited.",Critical success factors; Electronic commerce; National Health Service; Pharmaceuticals industry; Supply chain management; United Kingdom,2-s2.0-70350306425
Tsinopoulos C.; Bell K.,"Tsinopoulos, Christos (6506172683); Bell, Keith (7401917163)",2010,Journal of Manufacturing Technology Management,10.1108/17410381011011489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-75649108557&doi=10.1108%2f17410381011011489&partnerID=40&md5=b4ef7c7e206e326d9575ffe025328d60,"Purpose - The purpose of this paper is to develop a model for overcoming the key barriers to the implementation of supply chain integration systems by small engineering to order (ETO) companies. Design/methodology/approach - Qualitative data from three in-depth case studies are collected. The three case studies are small UK ETO companies, i.e. manufacturing companies that customise generic product types to meet specific customer requirements and only make these to order. Findings - The paper identifies three key barriers: management awareness of the benefits and implementation challenges of these systems, perceived risk to the business and to information security and intensity of skills needed for their successful implementation. The paper proposes an iterative model that aims at overcoming these barriers. Research limitations/implications - The authors apply the knowledge on technology adoption in the context of small ETO companies to explain the apparent lack of implementation of supply chain integration systems by small ETO organisations; and propose a model to overcome these barriers. The main limitation is the lack of full validation of our model. Although this model has been presented and discussed the with case study companies, it has not been fully implemented yet. A full implementation and subsequent review would provide unequivocal validation. Practical implications - The paper presents a model for overcoming the key barriers of implementation of supply chain integration systems by small ETO companies. Managers and consultants that aim at implementing such systems can use this model prior to implementation to reduce the potential impact of these barriers on the implementation. Originality/value - There are two contributions of this paper. The first is the explanation of the barriers that inhibit the implementations of supply chain integration systems by small ETO companies. The second is the development of the model for overcoming these. © Emerald Group Publishing Limited.",Integration; Small enterprises; Supply chain management; United Kingdom,2-s2.0-75649108557
Ramdani B.; Kawalek P.; Lorenzo O.,"Ramdani, Boumediene (33568294300); Kawalek, Peter (6603181014); Lorenzo, Oswaldo (8507330200)",2009,Journal of Enterprise Information Management,10.1108/17410390910922796,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67249109476&doi=10.1108%2f17410390910922796&partnerID=40&md5=e7bbb566b9325a773241eb7393c460d8,"Purpose – The purpose of this paper is to develop a model that can be used to predict which small to mediumsized enterprises (SMEs) are more likely to become adopters of enterprise systems (ERP, CRM, SCM and eprocurement). Design/methodology/approach Direct interviews were used to collect data from a random sample of SMEs located in the Northwest of England. Using logistic regression, 102 responses were analysed. Findings The results reveal that the factors influencing SMEs' adoption of enterprise systems are different from the factors influencing SMEs' adoption of other previously studied information systems (IS) innovations. SMEs were found to be more influenced by technological and organisational factors than environmental factors. Moreover, the results indicate that firms with a greater perceived relative advantage, a greater ability to experiment with these systems before adoption, greater top management support, greater organisational readiness and a larger size are predicted to become adopters of enterprise systems. Research limitations/implications Although this study focused on the factors that influence SMEs' adoption of a set of enterprise systems (i.e. ERP, CRM, SCM and eprocurement), it fails to differentiate between factors that influence each of these systems. Practical implications The model can be used to assist software vendors not only to develop marketing strategies that can target potential adopters, but also to develop strategies to increase the adoption of ES among SMEs. Originality/value The paper contributes to the continuing research in IS innovations adoption/diffusion in the small business context. © 2009, Emerald Group Publishing Limited",Information systems; Innovation; Small to mediumsized enterprises,2-s2.0-67249109476
Peng G.C.; Nunes M.B.,"Peng, Guo Chao (55537141500); Nunes, Miguel Baptista (7102001982)",2009,Industrial Management and Data Systems,10.1108/02635570910982283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70149108276&doi=10.1108%2f02635570910982283&partnerID=40&md5=71ae8888ec7bd987efe3ec91c1dd97ae,"Purpose - The purpose of this paper is to develop a risk identification checklist for facilitating user companies to surface, organise and manage potential risks associated with the post-adoption of enterprise resource planning (ERP) systems. Design/methodology/approach - A desktop study, based on the process of a critical literature review, is conducted by the researchers. The critical review focuses on information systems and business research papers, books, case studies and theoretical articles, etc. Findings - By systematically and critically analysing and synthesising the literature review, the researchers identify and propose a total of 40 ERP post-implementation risks related to diverse operational, analytical, organisation-wide and technical aspects. A risk ontology is subsequently established to highlight these ERP risks, as well as to present their potential causal relationships. Research limitations/implications - For researchers, the established ERP risk ontology represents a starting point for further research, and provides early insights into a research field that will become increasingly important as more and more companies progress from implementation to exploitation of ERPs. Practical implications - For practitioners, the risk ontology is an important tool and checklist to support risk identification, prevention, management and control, as well as to facilitate strategic planning and decision making. Originality/value - There is a scarcity of studies focusing on ERP post-implementation in contrast with an over abundance of studies focusing on system implementation and project management aspects. This paper aims to fill this significant research gap by presenting a risk ontology of ERP post-adoption. It represents a first attempt in producing a comprehensive model in its area. No other such models can be found from the literature review. © Emerald Group Publishing Limited.",Information systems; Manufacturing resource planning; Risk management,2-s2.0-70149108276
Meixell M.J.,"Meixell, Mary J. (6506954359)",2006,Industrial Management and Data Systems,10.1108/02635570610653524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645022424&doi=10.1108%2f02635570610653524&partnerID=40&md5=6845bab3b7fc7ca2dfd0d58a1277b6e4,"Purpose - The purpose of this paper is to develop an approach for quantifying the operational value of IT-enabled reliability improvement in a supplier network. Design/methodology/approach - Specifically, the paper investigates an e-procurement scenario involving emergency material purchases where web services provide for real-time response, a dynamic supplier set, and the ability to perform cross-enterprise purchase processes in an inter-operable fashion. The paper proposes engineering reliability models for three network configurations as a basis for quantifying the value of web services, and develops a numerical illustration to both test its usefulness and to derive preliminary insights into supplier network design in this environment. Findings - This research finds that a stand-by model is descriptive of reliability in networks where suppliers are identified and managed using web services, and that this approach quantifies operational improvement in this type of e-procurement system. The research also finds that the benefit derived from using web services for emergency purchases depends on the characteristics of the supply network itself, specifically the failure frequency of the existing suppliers and the time to restore operation after a failure occurs. Originality/value - These findings are important to information system managers when assessing the financial and technical benefits of real-time and dynamic information technologies, as well as supply chain managers seeking to implement a dynamically configured supply network. Future research directions include extensions of the reliability models, data acquisition for specifying their parameter values, and investigation into the usefulness of this approach in hardware decisions of web services applications in business. © Emerald Group Publishing Limited.",Reliability management; Supply chain management; Worldwide web,2-s2.0-33645022424
Aviles M.; Eastman J.K.,"Aviles, Maria (55225531700); Eastman, Jacqueline K. (7102271193)",2012,Journal of International Education in Business,10.1108/18363261211281726,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943755097&doi=10.1108%2f18363261211281726&partnerID=40&md5=b429561b0368acfccb7053d12375571a,"Purpose - The purpose of this paper is to discuss how technological tools, such as Web 2.0 and online learning management systems, can be utilized to improve Millennials' educational performance. Design/methodology/approach - An exploratory survey of Millennial business students was conducted to measure their self-reported use and perceived effectiveness of a variety of hardware, traditional, and Web 2.0 tools. Findings - An exploratory study of business students finds that course websites and online assessments are the technological tools they report using most often. The technology tools that business students perceive as most effective include personal computers, laptop computers, course websites, discussion groups, message boards, and online assessments. Research limitations/implications - This exploratory study looked only at business students' self-report use and perceived effectiveness of technology tools. Future research is needed to examine other college students beyond business, to measure actual use and effectiveness, and to incorporate input from faculty on the use and effectiveness of technology tools. Practical implications - In this paper, the authors discuss how technological tools, such as Web 2.0 and online learning management systems, can be utilized to improve Millennials' educational performance. These tools can meet Millennials' need for affiliation, low ambiguity, immediate feedback and a personalized learning experience. Social implications - The Millennial generation is very different from the Generation X or Baby Boomer professor who is trying to effectively teach them. With a better understanding of students' perceptions, business faculties can better utilize technology to improve their Millennial students' performance while providing them with an active, engaging educational experience. Originality/value - The focus of this paper addresses how to better utilize the technological aptitude of Millennial business students to enhance the students' educational performance and improve business faculty effectiveness. © 2016 Emerald Group Publishing Limited.",Business education; Education; Information technology; Millennial students; Online education; Students; Technology; Web 2.0,2-s2.0-84943755097
Isaksson R.; Steimle U.,"Isaksson, Raine (7004181921); Steimle, Ulrich (23989713600)",2009,TQM Journal,10.1108/17542730910938155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-66749089236&doi=10.1108%2f17542730910938155&partnerID=40&md5=039e7d32a7cb7575d7c99ab77f974c7a,"Purpose - The purpose of this paper is to discuss what the business contribution to sustainable development is (or should be) and to propose criteria for assessing corporate sustainability. These criteria are applied for the analysis of Global Reporting Initiative (GRI)-reports of five major cement manufacturers. This will result in a discussion if GRI-based sustainability reports really contain the information needed for judging corporate sustainability. Design/methodology/approach - Starting from a literature review of common definitions and principles, the main criteria of corporate sustainability were developed and a set of evaluation criteria for analyzing sustainability reports was proposed. Definitions and principles from concepts such as eco-efficiency, triple-bottom-line, the natural step and stakeholder value were considered. Using these criteria analysis was made of the GRI-based sustainability reports of five major cement manufacturers in order to find out to what extent the reports really address the sustainability performance of the companies. The companies were chosen because of their dominant position in the building material supply chain. The building industry has multiple impacts on the environment as well as on the social system. The decisions and actions of the cement manufacturers have influence on the entire supply chain, from raw material suppliers to the end customer. Findings - The findings lead to the conclusion that the current GRI guidelines are not sufficient to make sustainability reporting for the cement industry relevant and clear. In other words, the guidelines are not sufficient for assuring that a report answers the questions of how sustainable a company is and how quickly it is approaching sustainability. Within the GRI guidelines the needs of the customers are not considered sufficiently. This points at an important area where business excellence ideas can support sustainability reporting. This could be done, for instance, by including the concept of cost of poor quality into sustainability reporting guidelines. Originality/value - The most common framework for sustainability reporting on an empirical basis was critically analysed. The qualitative study delivers insights into sustainability reporting in an industry with large impacts on global climate change and living conditions. © 2009 Emerald Group Publishing Limited. All rights reserved.",Business excellence; Construction industry; Economic sustainability; Reports; Stakeholder analysis,2-s2.0-66749089236
Hedgebeth D.,"Hedgebeth, Darius (23394816200)",2007,VINE,10.1108/03055720710825618,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548658810&doi=10.1108%2f03055720710825618&partnerID=40&md5=726f4133e6dd1d1c42463b72520063a0,"Purpose - The purpose of this paper is to educate the knowledge worker on the benefits of using open source software, and to demonstrate how open source methodology promotes the collaborative and innovative attributes of knowledge management. Design/methodology/approach - The author lists the open source initiative's definition for open source products, licensing information, the value of open source in a global economy, misconceived barriers to open source adoption, a functional comparison of open source and commercial software products, and web sites where open source products may be obtained. Findings - Open source usage is prevalent throughout the world for governmental, business, educational, military, and space exploration purposes. Notwithstanding, some commercial enterprises such as the Microsoft Corporation have viewed the open source movement as a threat to profitability, citing alleged intellectual property infringement violations. However, other commercial entities such as IBM, Oracle, Novell, and Apple computer have embraced open source technology to conduct business operations as well as satisfy customer needs. Public appeal for open source products has been strong enough for Microsoft, through a recent public statement, to disclose that the firm wishes to ""build a bridge"" with the open source community, an apparent realization that open source is here to stay. The knowledge worker should understand that commercial and open source applications may coexist in the same IT environment. Originality/value - A knowledge enterprise's total cost of ownership (TCO) can be significantly reduced through the use of open source software, resulting in an improvement to overall performance attributed to the collaborative and innovative nature of the open source model. Enterprises can benefit by taking a closer look at how open source technology helps to meet organizational goals and objectives in the most efficient and effective manner available.",Competitive advantage; Computer software; Intellectual property; Knowledge economy; Standards; User interfaces,2-s2.0-34548658810
Caldwell F.,"Caldwell, French (14023972800)",2006,VINE,10.1108/03055720610682988,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745446157&doi=10.1108%2f03055720610682988&partnerID=40&md5=9d6d59a523d903ffb6e6cb296a96a720,"Purpose - The purpose of this paper is to explain how knowledge management (KM) is an essential part of an information management (IM) initiative. IM and KM leaders must be aware of the challenges of fusing KM and IM. Design/methodology/approach - This paper is based on observation of numerous KM and IM projects, and on discussions with expert practitioners and senior management. Findings - Executives want as close to real time decision support as they can get and they want business context around the data. For the information technology organization this means integrating structured data with unstructured content and building collaboration into analytic tools so that analysts across the company can share what they know. It means building KM into IM projects. Originality/value - Chief information officers and senior business managers who are implementing IM projects for decision support will get more value by including KM initiatives that provide for context and collaboration. © Gartner, Inc.",Information management; Knowledge management; Managers; Workplace,2-s2.0-33745446157
Jones P.,"Jones, Philip (57199134913)",2008,Records Management Journal,10.1108/09565690810858514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-40749091569&doi=10.1108%2f09565690810858514&partnerID=40&md5=6bf5611d2e57172cbfa94226795b06bf,"Purpose - The purpose of this paper is to explore the favoured and almost ingrained way of managing groups of documents in systems, specifically in electronic document and records management systems (EDRMS), namely the folder, considered by many users as a sine qua non to any information system. Design/methodology/approach - The most significant barrier to successful implementation of EDRMS is ""culture"" rather than cost. Implicit is a willingness of users to employ EDRM as their method of choice to achieve such an end. Anecdotal evidence and a real case example are shared to explore the approach to developing virtual folders to meet user requirements and organisational needs. Findings - Staffordshire County Council's EDRMS does not employ folders. To save a document, users associate it with a level in the Council's functional business classification scheme (BCS); this is achieved through a series of ""saved searches"". Metadata requirements are embedded within the BCS levels and the user chooses a title and functional association for the record. Practical implications/limitations - This is a way of adopting what exists as standard technology within EDRM systems to satisfy a user need. The vital part is to firstly recognise why the barrier existed in the deployment of a functional classification scheme and further to move beyond the ""face value"" of why the users performed a particular methodology. More controlled and detailed research is required beyond the work that has been completed. Originality/value - This paper aims to provoke thought around the need to understand perceptions around documents, records and the systems, in particular EDRM systems, that manage them.",Document management; Information systems; Public sector organizations; Records management,2-s2.0-40749091569
